search URL:,https://patents.google.com/?q=%28%22mtj%22%29+%28%22superconducting+magnet%22%29&country=US&status=GRANT&type=PATENT&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5936293-A,Hard/soft magnetic tunnel junction device with stable hard ferromagnetic layer ,International Business Machines Corporation,Stuart Stephen Papworth Parkin,1998-01-23,1998-01-23,1999-08-10,1999-08-10,https://patents.google.com/patent/US5936293A/en,https://patentimages.storage.googleapis.com/92/4f/bd/37956a9c06df7e/US5936293-drawings-page-2.png
US-8547095-B2,Detection of magnetic resonance signals using a magnetoresistive sensor ,The Regents Of The University Of California,"Dmitry Budker, Alexander Pines, Shoujun Xu, Christian Hilty, Micah P. Ledbetter, Louis S. Bouchard",2007-10-05,2010-04-02,2013-10-01,2013-10-01,https://patents.google.com/patent/US8547095B2/en,https://patentimages.storage.googleapis.com/e5/ce/60/37c9de2ddf48e7/US08547095-20131001-D00000.png
US-9006848-B2,Nonvolatile magnetic memory device ,"SK Hynix Inc., Industry-University Cooperation Foundation Hanyang Univerity",Wan Jun PARK,2012-06-13,2013-05-10,2015-04-14,2015-04-14,https://patents.google.com/patent/US9006848B2/en,https://patentimages.storage.googleapis.com/38/ad/9b/08ddc434db3bc5/US09006848-20150414-D00000.png
US-10754000-B2,Multi-probe ferromagnetic resonance (FMR) apparatus for wafer level characterization of magnetic films ,"Taiwan Semiconductor Manufacturing Company, Ltd.","Santiago Serrano Guisan, Luc Thomas, Son Le, Guenole Jan",2018-08-07,2018-08-07,2020-08-25,2020-08-25,https://patents.google.com/patent/US10754000B2/en,https://patentimages.storage.googleapis.com/95/6b/88/d39179dc556a0e/US10754000-20200825-D00000.png
US-9410742-B2,High capacity magnetic annealing system and method of operating ,Tokyo Electron Limited,"Ian Colgan, Ioan Domsa, George Eyres, Toru Ishii",2014-09-08,2015-06-26,2016-08-09,2016-08-09,https://patents.google.com/patent/US9410742B2/en,https://patentimages.storage.googleapis.com/2e/60/99/9f70a0b302aaf4/US09410742-20160809-D00000.png
US-10003018-B1,Vertical multi-batch magnetic annealing systems for reduced footprint manufacturing environments ,Tokyo Electron Limited,"Ian Colgan, Ioan Domsa, George Eyres, Saito Makoto, Noel O'Shaughnessy, Toru Ishii, David Hurley",2017-05-08,2017-05-08,2018-06-19,2018-06-19,https://patents.google.com/patent/US10003018B1/en,https://patentimages.storage.googleapis.com/ac/ad/06/40b11c79b54b9b/US10003018-20180619-D00000.png
US-11069544-B2,Rapid thermal processing method and apparatus for programming the pinned layer of spintronic devices ,"MultiDimension Technology Co., Ltd.",James Geza Deak,2015-04-27,2016-04-26,2021-07-20,2021-07-20,https://patents.google.com/patent/US11069544B2/en,https://patentimages.storage.googleapis.com/3c/0c/5d/87f9db1d49e628/US11069544-20210720-D00000.png
US-11609208-B2,Devices and methods for molecule detection based on thermal stabilities of magnetic nanoparticles ,"Western Digital Technologies, Inc.","Patrick Braganca, Daniel Bedau",2019-04-12,2019-12-26,2023-03-21,2023-03-21,https://patents.google.com/patent/US11609208B2/en,https://patentimages.storage.googleapis.com/e8/45/e7/43f8b2ce66f815/US11609208-20230321-D00001.png
US-10319905-B2,Method and system for performing post-etch annealing of a workpiece ,Tokyo Electron Limited,"David F. Hurley, Doni Parnell, Shigeru Tahara, Toru Ishii",2014-01-24,2015-01-12,2019-06-11,2019-06-11,https://patents.google.com/patent/US10319905B2/en,https://patentimages.storage.googleapis.com/89/1f/1d/b09373ba9c707d/US10319905-20190611-D00000.png
US-9822424-B2,High rate magnetic annealing system and method of operating ,Tokyo Electron Limited,"Toru Ishii, Mitsuru Yamazaki",2014-12-17,2015-06-26,2017-11-21,2017-11-21,https://patents.google.com/patent/US9822424B2/en,https://patentimages.storage.googleapis.com/6f/0c/45/4b2528eb91117b/US09822424-20171121-D00000.png
US-11747329-B2,Magnetic gradient concentrator/reluctance detector for molecule detection ,"Western Digital Technologies, Inc.",Daniel Bedau,2019-11-22,2020-03-19,2023-09-05,2023-09-05,https://patents.google.com/patent/US11747329B2/en,https://patentimages.storage.googleapis.com/e9/c3/23/fa5277abc8fe88/US11747329-20230905-D00000.png
